Gesamt;unter6;6-15;15-18;18-27;27-45;45-55;55-65;65undmehr;weiblich;ausländer;PLR-ID
3503;169;181;35;438;1193;377;396;714;1708;1509;01100101
1996;103;131;28;196;762;260;248;268;932;1065;01100102
5537;262;342;108;667;1743;629;749;1037;2560;2094;01100103
4850;254;400;128;808;1720;614;533;393;2228;1974;01100104
2981;139;177;38;372;1128;299;354;474;1411;1552;01100205
1893;117;119;33;160;666;282;264;252;916;723;01100206
8814;486;552;163;753;3232;1001;1034;1593;4343;3317;01100207
7371;438;464;116;716;3145;1052;721;719;3613;2520;01100308
12518;685;932;332;1185;4598;2122;1578;1086;6132;3521;01100309
10276;533;596;158;1151;4061;1272;1027;1478;4881;3894;01100310
9437;521;664;165;1100;2765;855;984;2383;4897;3051;01100311
10136;596;565;133;883;3887;1099;1066;1907;4974;3310;01100312
11016;621;646;174;1388;4000;1312;1211;1664;5453;3633;01100313
5560;517;472;91;470;2809;621;321;259;2731;2428;01100414
12997;733;1077;322;1290;5043;2301;1395;836;6473;3724;01100415
13400;867;1180;299;1039;5523;2380;1245;867;6691;3774;01100416
3771;212;297;92;515;1504;392;434;325;1722;1576;01200517
6935;377;439;133;1185;2752;745;668;636;3210;3065;01200518
9200;463;621;205;1317;3494;1027;979;1094;4302;3490;01200519
9552;482;588;141;1271;3567;1069;1204;1230;4509;2905;01200520
5239;276;366;141;805;1882;593;582;594;2371;2019;01200521
11575;590;710;241;1269;3528;1393;1703;2141;5908;2566;01200522
10922;590;744;209;1501;4426;1265;1182;1005;5160;3533;01200623
6396;501;377;94;804;3503;533;308;276;2986;3206;01200624
6927;418;593;214;887;2219;795;768;1033;3390;2375;01200625
5905;295;362;103;604;2020;764;720;1037;2912;1612;01200626
3354;246;380;122;416;900;350;395;545;1647;1183;01200627
3235;160;206;65;299;1131;463;431;480;1527;792;01200628
5902;225;263;81;948;1793;614;723;1255;2881;1972;01200629
8042;558;863;264;1178;2666;952;792;769;3784;3839;01300730
8694;539;776;245;1260;3013;958;906;997;4186;3402;01300731
9845;729;933;308;1321;3452;1160;960;982;4744;3952;01300732
11638;704;1063;319;1557;4093;1460;1177;1265;5615;4519;01300733
14372;1096;1626;541;1725;4378;1745;1486;1775;7209;4474;01300834
10764;635;971;271;1633;3059;1183;1253;1759;5451;3512;01300835
14964;939;1340;460;2243;5253;1783;1442;1504;7075;6137;01300836
10840;585;708;249;1238;3490;1275;1526;1769;5346;3437;01400937
9690;498;657;219;1176;3680;1078;1063;1319;4624;3357;01400938
6011;362;393;108;769;2231;672;660;816;2934;2284;01400939
6803;479;497;125;596;1786;761;953;1606;3623;1203;01400940
3854;215;202;64;364;935;352;524;1198;2027;1045;01400941
8739;489;515;166;1333;3421;984;940;891;4268;3295;01400942
7746;426;635;259;1195;2471;920;873;967;3712;3260;01401043
10137;652;891;264;1338;3833;1195;998;966;4803;4500;01401044
5593;370;524;169;857;2014;664;556;439;2599;2517;01401045
8867;496;496;153;1309;3745;941;952;775;4164;2910;01401046
7860;437;567;173;1451;3269;798;614;551;3635;3966;01401047
9445;498;610;200;1531;3643;1071;988;904;4453;3747;01401048
6729;372;498;154;754;2128;759;837;1227;3314;2804;01401049
6381;360;535;175;815;2390;797;662;647;2968;2683;02100101
8705;561;833;314;1204;2667;1067;957;1102;4314;3143;02100102
5406;350;510;167;633;1744;704;681;617;2745;1717;02100103
5667;338;524;200;734;1660;786;740;685;2800;2138;02100104
9492;563;875;305;1162;2925;1260;1083;1319;4742;3361;02100105
4990;253;481;172;588;1483;697;653;663;2466;1655;02100106
2446;204;226;40;182;975;246;241;332;1213;693;02200207
5889;317;474;160;611;1995;813;786;733;2898;1719;02200208
10922;676;857;244;942;3956;1566;1404;1277;5353;2767;02200209
12233;686;834;249;1182;4560;1679;1679;1364;5968;3411;02200210
14703;786;902;334;1507;4908;2117;2340;1809;7354;3722;02200211
8564;557;768;212;838;2983;1179;1090;937;4279;2325;02200212
10172;551;723;203;918;3877;1414;1325;1161;5085;3011;02200213
7466;328;517;199;748;2434;1184;1109;947;3523;2734;02300314
8519;455;653;226;959;2888;1261;1155;922;4129;2920;02300315
4239;192;312;87;389;1491;619;596;553;2054;1279;02300316
8180;417;635;182;748;3157;1224;926;891;3899;2777;02300417
7746;416;518;142;720;2960;1210;968;812;3765;2380;02300418
10675;520;692;207;1133;4295;1553;1292;983;5067;3603;02300419
5815;345;433;117;473;1474;596;738;1639;3023;1347;02400520
8083;511;550;159;718;3202;865;806;1272;4110;1901;02400521
11343;753;786;175;956;4879;1488;1017;1289;5690;2313;02400522
13541;886;885;253;1551;4876;1287;1279;2524;6835;4397;02400623
11885;613;730;210;1570;4807;1556;1139;1260;5654;3365;02400624
1086;41;78;21;131;671;70;40;34;495;643;02400625
9285;579;593;115;930;4728;1122;712;506;4400;2534;02500726
6642;438;461;127;571;3157;858;526;504;3236;1758;02500727
10103;682;712;202;852;5058;1466;708;423;4946;2501;02500728
5489;371;461;102;456;2610;740;440;309;2662;1294;02500729
4032;234;254;57;413;1994;550;302;228;1938;1225;02500830
7981;438;557;130;788;3999;991;644;434;3863;2322;02500831
9351;736;655;136;914;4950;1055;550;355;4413;2967;02500832
10283;620;521;113;987;5665;1344;683;350;4868;3074;02500833
11506;771;849;202;1145;5592;1662;816;469;5497;2938;02500834
8044;510;498;104;830;4140;869;553;540;3785;2469;02500835
4987;485;498;98;269;1810;786;504;537;2488;629;02500836
4668;382;463;85;361;1394;616;610;757;2205;556;03100101
3298;225;247;78;300;912;352;397;787;1680;765;03100102
9312;639;910;265;858;2246;945;1104;2345;4880;1717;03100103
2056;90;185;54;129;353;301;397;547;1014;65;03200204
8809;481;815;263;840;1996;1365;1348;1701;4613;918;03200205
6595;426;725;205;618;1624;1060;857;1080;3405;1008;03200206
11493;708;1251;346;826;2864;1774;1737;1987;5888;1285;03200207
5284;271;581;159;378;1157;803;947;988;2688;383;03200308
5387;355;574;151;366;1217;787;926;1011;2673;551;03200309
8035;524;825;275;607;1965;1095;1260;1484;4170;625;03200310
11588;937;1371;364;977;3165;1412;1503;1859;6042;1623;03300411
5262;294;438;115;340;954;737;1035;1349;2689;314;03300412
3147;150;341;110;196;571;486;600;693;1575;137;03300413
6954;342;719;214;418;1236;1025;1333;1667;3553;396;03300514
52;4;6;3;–;9;–;18;12;22;6;03300515
8288;502;756;215;731;2055;1072;1358;1599;4030;1503;03300516
1113;34;91;17;50;170;158;234;359;555;35;03300517
4851;301;497;180;435;1004;796;851;787;2473;405;03400618
10477;593;845;260;863;2414;1475;1655;2372;5469;1163;03400619
3534;166;382;139;281;671;610;529;756;1832;383;03400620
11772;848;1419;388;912;3691;2039;1242;1233;6104;1574;03400721
3643;203;402;131;269;723;611;493;811;2018;315;03400722
7100;542;760;168;568;2573;959;716;814;3596;1066;03400723
7566;453;693;179;648;1914;1049;1009;1621;4117;657;03400724
7414;431;681;169;532;1705;861;1069;1966;4027;613;03400725
6907;454;663;152;572;2112;912;847;1195;3646;1156;03400826
9676;571;786;187;766;3494;1444;1091;1337;4958;1636;03400827
4868;285;305;99;403;1809;593;548;826;2489;945;03400828
5783;323;545;150;539;1613;747;729;1137;3047;827;03400829
9318;539;743;200;736;3005;1432;1219;1444;4938;1035;03400830
–;–;–;–;–;–;–;–;–;–;–;03400831
6018;426;475;137;573;1746;737;823;1101;3100;1228;03500932
7731;431;704;217;589;2315;1059;963;1453;4028;1015;03500933
10310;744;861;215;825;4226;1430;1037;972;5031;2076;03500934
6655;484;640;203;612;2506;955;704;551;3287;1269;03500935
9911;642;1097;302;838;3090;1555;1174;1213;5146;1551;03500936
8588;501;583;164;749;2608;1026;1046;1911;4407;1340;03501037
7413;428;708;167;506;1871;887;1152;1694;3914;898;03501038
3760;250;263;55;350;1613;511;328;390;1851;926;03601139
5987;331;486;132;545;2643;1036;463;351;2890;1362;03601140
6634;423;507;142;609;2865;1046;559;483;3356;1616;03601141
10987;650;945;250;946;4598;2003;993;602;5432;2891;03601142
6983;390;479;91;650;2956;1078;666;673;3532;1412;03601243
7619;395;516;148;673;2933;1270;808;876;3986;1415;03601244
12950;687;700;202;1217;5274;1615;1399;1856;6640;2623;03601245
6015;363;549;158;600;2273;1172;605;295;2968;1587;03601346
9432;582;888;268;811;3445;1994;1029;415;4693;2054;03601347
