PLR-ID;PLR-Name;EW 31.12.2020;zS1;zS3;zS4;Status-summe;Status-Index (standardisierte Statussumme);Zuordnung Klasse Status-Index ;zD1;zD3;zD4;Dynamik-summe;Dynamik-Index (standardisierte Dynamik-summe);Zuordnung Klasse Dynamik-Index 
01100101;Stülerstraße;3419;-0.25;-0.41;-0.31;-0.97;-0.33;mittel;0.41;0.91;1.31;2.64;1.27;negativ
01100102;Großer Tiergarten;1791;-1.30;-1.05;-0.97;-3.32;-1.12;hoch;-0.92;1.28;1.57;1.93;0.93;stabil
01100103;Lützowstraße;5211;0.12;0.65;0.49;1.25;0.42;mittel;-0.16;-0.82;-1.00;-1.99;-0.96;stabil
01100104;Körnerstraße;4636;0.41;1.00;0.92;2.34;0.79;mittel;0.18;0.16;-0.42;-0.08;-0.04;stabil
01100205;Wilhelmstraße;2573;-0.71;-0.65;-0.29;-1.64;-0.56;mittel;-0.63;-0.47;0.46;-0.64;-0.31;stabil
01100206;Unter den Linden;1803;-0.96;-0.85;-0.70;-2.50;-0.85;mittel;-0.56;1.63;1.60;2.68;1.29;negativ
01100207;Leipziger Straße;8312;-0.75;-0.60;-0.34;-1.69;-0.57;mittel;-0.38;0.27;-0.11;-0.22;-0.10;stabil
01100308;Charitéviertel;6967;-1.22;-1.17;-1.19;-3.59;-1.21;hoch;-0.72;0.60;0.39;0.27;0.13;stabil
01100309;Oranienburger Straße;12352;-0.69;-0.65;-0.70;-2.04;-0.69;mittel;-0.20;0.98;0.73;1.51;0.73;stabil
01100310;Alexanderplatzviertel;9903;-0.37;-0.38;-0.25;-1.00;-0.34;mittel;-0.34;0.69;0.41;0.75;0.36;stabil
01100311;Karl-Marx-Allee;9013;0.61;0.27;0.85;1.74;0.59;mittel;1.33;0.43;0.62;2.37;1.14;negativ
01100312;Heine-Viertel West;9422;-0.64;-0.77;-0.64;-2.05;-0.69;mittel;-0.43;0.27;-0.54;-0.71;-0.34;stabil
01100313;Heine-Viertel Ost;10779;-0.72;-0.66;-0.50;-1.88;-0.63;mittel;-0.41;0.51;0.41;0.52;0.25;stabil
01100414;Nordbahnhof;5178;-1.05;-0.95;-0.91;-2.90;-0.98;mittel;-0.48;0.31;0.56;0.38;0.18;stabil
01100415;Invalidenstraße;12593;-0.99;-0.91;-1.05;-2.95;-1.00;mittel;-0.60;0.59;0.19;0.17;0.08;stabil
01100416;Arkonaplatz;13443;-0.98;-1.04;-1.13;-3.15;-1.07;hoch;-0.20;0.84;0.79;1.43;0.69;stabil
01200517;Huttenkiez;3725;1.18;1.55;2.05;4.79;1.62;sehr niedrig;0.53;-1.77;-1.95;-3.19;-1.53;positiv
01200518;Beusselkiez;6866;1.00;1.20;1.59;3.79;1.28;niedrig;0.69;-1.16;-0.21;-0.67;-0.32;stabil
01200519;Emdener Straße;9103;0.91;0.77;1.04;2.72;0.92;mittel;1.22;-1.65;-1.59;-2.02;-0.97;stabil
01200520;Bremer Straße;9433;0.39;0.38;0.40;1.17;0.40;mittel;0.57;-0.60;-0.21;-0.25;-0.12;stabil
01200521;Zwinglistraße;5235;0.91;1.38;1.61;3.90;1.32;niedrig;1.11;-0.41;0.20;0.90;0.43;stabil
01200522;Elberfelder Straße;11333;-0.45;-0.48;-0.65;-1.58;-0.54;mittel;-0.54;-0.27;-0.49;-1.29;-0.62;stabil
01200623;Stephankiez;10825;0.25;0.39;0.25;0.89;0.30;mittel;0.67;-0.69;-1.14;-1.16;-0.56;stabil
01200624;Heidestraße;5178;-0.49;-0.22;-0.17;-0.88;-0.30;mittel;-2.85;-4.36;-2.78;-9.99;-4.80;positiv
01200625;Lübecker Straße;6976;1.53;1.59;1.37;4.49;1.52;sehr niedrig;1.78;-1.47;-0.44;-0.13;-0.06;stabil
01200626;Thomasiusstraße;5935;-0.53;-0.36;-0.47;-1.37;-0.46;mittel;-0.05;0.11;1.02;1.08;0.52;stabil
01200627;Zillesiedlung;3280;2.12;2.09;1.31;5.52;1.87;sehr niedrig;3.78;0.54;2.59;6.91;3.32;negativ
01200628;Lüneburger Straße;3132;-0.68;-0.35;-0.67;-1.70;-0.58;mittel;-1.64;0.24;0.03;-1.37;-0.66;stabil
01200629;Hansaviertel;5807;-0.79;-0.59;-0.63;-2.01;-0.68;mittel;-0.83;0.28;0.13;-0.43;-0.21;stabil
01300730;Drontheimer Straße;7957;2.68;2.68;2.45;7.81;2.64;sehr niedrig;3.24;-2.01;-0.35;0.88;0.43;stabil
01300731;Koloniestraße;8545;1.93;2.17;2.25;6.35;2.15;sehr niedrig;1.84;-1.90;-0.11;-0.16;-0.08;stabil
01300732;Soldiner Straße;9879;1.99;2.36;2.23;6.57;2.22;sehr niedrig;1.82;-1.45;-1.11;-0.74;-0.36;stabil
01300733;Gesundbrunnen;11665;1.47;1.83;1.89;5.19;1.76;sehr niedrig;2.01;-0.46;0.46;2.01;0.96;stabil
01300834;Brunnenstraße;14193;1.86;2.32;1.67;5.85;1.98;sehr niedrig;2.51;-1.35;-0.53;0.63;0.30;stabil
01300835;Humboldthain Süd;10443;0.91;1.30;1.22;3.42;1.16;niedrig;1.22;-0.67;-0.20;0.35;0.17;stabil
01300836;Humboldthain Nordwest;14657;1.94;2.14;2.22;6.30;2.13;sehr niedrig;2.14;-1.32;0.16;0.98;0.47;stabil
01400937;Afrikanische Straße;10804;1.05;0.92;1.10;3.07;1.04;niedrig;0.91;-0.90;-1.11;-1.10;-0.53;stabil
01400938;Kameruner Straße;9725;0.94;0.93;1.31;3.19;1.08;niedrig;1.23;-0.62;-0.70;-0.08;-0.04;stabil
01400939;Glasgower Straße;5926;1.05;0.94;1.24;3.23;1.09;niedrig;1.34;-0.71;-0.38;0.26;0.12;stabil
01400940;Schillerpark;6794;0.99;0.80;1.13;2.92;0.99;mittel;1.38;-1.41;-0.49;-0.52;-0.25;stabil
01400941;Londoner Straße;3786;0.70;0.44;1.07;2.21;0.75;mittel;1.21;-0.53;-0.44;0.24;0.12;stabil
01400942;Westliche Müllerstraße;8643;0.74;0.88;1.39;3.01;1.02;niedrig;0.55;-1.33;-1.46;-2.24;-1.07;positiv
01401043;Antonstraße;7739;1.97;2.27;2.14;6.38;2.16;sehr niedrig;1.09;-1.56;-0.62;-1.09;-0.52;stabil
01401044;Uferstraße;10224;1.82;2.17;2.27;6.26;2.12;sehr niedrig;1.87;-1.72;-1.54;-1.39;-0.67;stabil
01401045;Schwedenstraße;5722;2.02;2.33;2.13;6.47;2.19;sehr niedrig;3.40;-1.14;0.04;2.29;1.10;negativ
01401046;Nordufer;8781;0.71;0.57;0.61;1.89;0.64;mittel;0.50;-1.01;-1.75;-2.26;-1.09;positiv
01401047;Sparrplatz;7867;1.01;1.13;1.63;3.77;1.28;niedrig;1.07;-2.13;-1.58;-2.63;-1.27;positiv
01401048;Leopoldplatz;9098;1.33;1.52;1.64;4.49;1.52;sehr niedrig;0.91;-1.48;-0.13;-0.69;-0.33;stabil
01401049;Schulstraße;6689;2.16;2.26;2.44;6.85;2.32;sehr niedrig;1.86;-1.56;-0.15;0.16;0.07;stabil
02100101;Askanischer Platz;6281;1.17;1.45;1.18;3.81;1.29;niedrig;1.38;0.68;1.32;3.37;1.62;negativ
02100102;Mehringplatz;8647;2.06;2.32;1.74;6.12;2.07;sehr niedrig;1.55;-0.79;-0.41;0.35;0.17;stabil
02100103;Am Berlin Museum;5382;1.86;2.02;1.57;5.46;1.85;sehr niedrig;1.83;-0.67;1.27;2.43;1.17;negativ
02100104;Moritzplatz;5567;2.40;2.24;1.95;6.59;2.23;sehr niedrig;1.30;-0.37;1.20;2.12;1.02;negativ
02100105;Prinzenstraße;9604;2.70;2.66;2.36;7.72;2.61;sehr niedrig;1.08;-1.52;0.07;-0.38;-0.18;stabil
02100106;Wassertorplatz;5009;2.48;2.61;2.23;7.32;2.48;sehr niedrig;2.30;-0.72;0.71;2.29;1.10;negativ
02200207;Gleisdreieck;2067;-1.35;-1.11;-1.10;-3.57;-1.21;hoch;-1.07;0.48;0.20;-0.39;-0.19;stabil
02200208;Rathaus Yorckstraße;6008;0.18;0.21;-0.01;0.37;0.13;mittel;0.04;-0.29;-0.59;-0.84;-0.40;stabil
02200209;Viktoriapark;10969;-0.29;-0.36;-0.51;-1.16;-0.39;mittel;-0.31;-0.09;-0.16;-0.56;-0.27;stabil
02200210;Urbanstraße;12384;-0.11;-0.11;-0.31;-0.53;-0.18;mittel;0.13;0.09;0.13;0.36;0.17;stabil
02200211;Chamissokiez;14760;-0.12;-0.15;-0.43;-0.70;-0.24;mittel;0.19;0.40;-0.17;0.42;0.20;stabil
02200212;Graefekiez Süd;8602;1.02;0.91;0.62;2.54;0.86;mittel;1.53;-0.80;-0.21;0.52;0.25;stabil
02200213;Graefekiez Nord;10284;-0.05;0.07;-0.41;-0.38;-0.13;mittel;-0.01;0.36;-0.10;0.25;0.12;stabil
02300314;Oranienplatz;7587;1.79;1.51;1.40;4.70;1.59;sehr niedrig;2.14;-0.15;0.85;2.84;1.36;negativ
02300315;Lausitzer Platz;8723;1.16;1.23;0.76;3.15;1.07;niedrig;1.49;-0.03;0.59;2.05;0.99;stabil
02300316;Köpenicker Straße;4215;0.57;0.74;0.45;1.76;0.60;mittel;-0.15;-0.09;0.86;0.63;0.30;stabil
02300417;Reichenberger Straße West;8433;0.92;0.82;0.52;2.26;0.77;mittel;0.93;-0.55;-0.84;-0.46;-0.22;stabil
02300418;Reichenberger Straße Ost;7710;0.59;0.36;-0.04;0.90;0.31;mittel;0.91;-0.30;-0.62;-0.01;0.00;stabil
02300419;Wrangelkiez;10903;0.43;0.29;0.00;0.71;0.24;mittel;0.16;-0.08;0.34;0.42;0.20;stabil
02400520;Barnimkiez;5451;0.73;0.02;0.53;1.27;0.43;mittel;0.97;-0.56;-0.61;-0.20;-0.10;stabil
02400521;Friedenstraße;7858;-0.20;-0.31;-0.17;-0.68;-0.23;mittel;0.46;-0.04;-0.32;0.10;0.05;stabil
02400522;Richard-Sorge-Viertel;11262;-0.57;-0.62;-0.68;-1.87;-0.63;mittel;-0.48;0.39;0.07;-0.01;-0.01;stabil
02400623;Andreasviertel;13307;0.28;0.34;0.76;1.38;0.47;mittel;0.16;0.35;-0.33;0.18;0.09;stabil
02400624;Weberwiese;11314;-0.46;-0.71;-0.82;-1.98;-0.67;mittel;0.09;0.69;0.88;1.66;0.80;stabil
02400625;Wriezener Bahnhof;1136;0.35;0.96;1.99;3.30;1.12;niedrig;-0.46;-1.57;0.05;-1.98;-0.95;stabil
02500726;Hausburgviertel;9134;-0.08;-0.25;-0.35;-0.69;-0.23;mittel;-0.25;0.73;0.58;1.07;0.51;stabil
02500727;Forckenbeckplatz;6623;-0.39;-0.35;-0.62;-1.36;-0.46;mittel;-0.75;0.42;0.13;-0.20;-0.10;stabil
02500728;Samariterviertel;10109;-0.21;-0.51;-0.81;-1.53;-0.52;mittel;0.17;0.21;-0.08;0.31;0.15;stabil
02500729;Pettenkofer Straße;5441;-0.31;-0.48;-0.73;-1.52;-0.52;mittel;-0.07;0.20;0.00;0.13;0.06;stabil
02500830;Niederbarnimstraße;3931;-0.16;-0.44;-0.79;-1.40;-0.47;mittel;-0.36;0.53;-0.21;-0.04;-0.02;stabil
02500831;Wismarplatz;7877;-0.02;-0.15;-0.20;-0.38;-0.13;mittel;0.07;0.28;-0.32;0.03;0.01;stabil
02500832;Traveplatz;9064;0.16;0.02;-0.04;0.14;0.05;mittel;-0.35;-0.92;-0.57;-1.84;-0.88;stabil
02500833;Boxhagener Platz;10190;-0.38;-0.54;-0.44;-1.36;-0.46;mittel;-0.50;0.66;0.77;0.93;0.45;stabil
02500834;Revaler Straße;11378;-0.69;-0.73;-0.91;-2.34;-0.79;mittel;-0.47;0.64;0.14;0.31;0.15;stabil
02500835;Stralauer Kiez;7868;-0.26;-0.40;-0.34;-1.00;-0.34;mittel;0.05;0.46;0.30;0.82;0.39;stabil
02500836;Stralauer Halbinsel;4709;-1.20;-1.05;-1.24;-3.49;-1.18;hoch;-0.95;1.26;0.56;0.87;0.42;stabil
03100101;Bucher Forst;4499;1.01;-0.32;-0.73;-0.04;-0.01;mittel;1.78;0.23;-0.13;1.88;0.90;stabil
03100102;Klinikum Buch;3214;0.46;-0.03;0.03;0.45;0.15;mittel;0.97;0.67;1.32;2.96;1.42;negativ
