PLR-ID;PLR-Name;EW 31.12.2020;K 01;K 02;K 03;K04;K 05;K16;K 06;K 17;K 07;K 09;K 10;K 11;K 12;K 13
01100101;Stülerstraße;3419;2.82;25.62;9.73;83.18;59.93;40.57;-1.31;70.44;8.55;0.00;55.92;38.36;0.51;-4.83
01100102;Großer Tiergarten;1791;0.00;26.97;4.59;88.28;66.95;50.75;6.17;71.29;3.08;0.61;40.15;49.56;5.18;1.51
01100103;Lützowstraße;5211;3.85;27.27;20.20;80.80;58.36;35.56;0.80;65.84;21.04;6.04;57.49;29.78;2.41;0.30
01100104;Körnerstraße;4636;4.38;24.24;28.32;79.95;64.58;38.55;-1.40;75.94;25.29;8.24;59.03;32.69;-2.09;-2.65
01100205;Wilhelmstraße;2573;2.52;20.20;4.32;85.62;61.91;44.07;3.08;74.25;7.05;0.00;56.44;42.22;3.04;-5.98
01100206;Unter den Linden;1803;0.00;32.30;2.49;80.95;52.47;36.22;-0.36;68.45;5.94;0.00;50.79;34.69;1.29;-8.39
01100207;Leipziger Straße;8312;2.11;19.94;4.64;79.71;51.62;33.85;0.55;68.05;10.67;0.00;54.21;30.87;-0.08;-4.52
01100308;Charitéviertel;6967;0.88;23.75;3.38;54.28;44.17;30.90;0.36;60.15;3.89;0.30;50.52;37.97;-0.61;-11.17
01100309;Oranienburger Straße;12352;1.52;32.90;5.66;52.92;40.97;26.78;-0.49;63.57;10.52;0.00;63.34;27.41;-1.51;-3.79
01100310;Alexanderplatzviertel;9903;1.98;28.38;7.76;70.23;48.92;35.04;0.11;68.59;10.86;0.00;57.07;37.78;-0.61;-0.48
01100311;Karl-Marx-Allee;9013;3.69;36.47;3.77;77.85;45.87;29.47;3.35;74.96;26.92;0.00;67.18;24.15;1.65;2.01
01100312;Heine-Viertel West;9422;2.16;22.18;2.59;69.44;44.45;29.35;3.12;75.19;8.55;0.00;54.47;31.61;6.83;12.29
01100313;Heine-Viertel Ost;10779;1.23;25.18;2.47;62.22;46.08;31.05;1.18;70.15;9.73;0.00;55.74;31.95;0.31;-4.14
01100414;Nordbahnhof;5178;1.43;13.96;6.77;68.16;53.82;40.09;-0.91;69.27;6.40;0.00;32.30;38.10;0.41;-2.00
01100415;Invalidenstraße;12593;1.40;29.24;6.86;47.00;40.04;26.70;-1.32;59.99;6.69;0.00;61.08;31.91;-1.88;-7.22
01100416;Arkonaplatz;13443;1.28;28.31;5.46;48.76;40.42;26.92;-0.75;56.92;5.61;0.00;57.61;30.31;-1.72;-6.32
01200517;Huttenkiez;3725;4.94;31.42;25.36;84.45;57.64;39.54;0.47;61.30;33.96;100.00;56.56;33.33;-2.03;-6.72
01200518;Beusselkiez;6866;5.24;31.62;23.92;84.66;62.89;43.50;0.56;64.88;25.88;100.00;51.22;41.13;0.84;-6.03
01200519;Emdener Straße;9103;5.14;31.20;15.97;71.16;53.75;36.07;-0.01;65.28;27.01;99.44;57.28;33.42;-1.89;-10.72
01200520;Bremer Straße;9433;4.77;28.52;16.02;67.12;48.02;29.47;-0.12;66.44;23.52;100.00;61.56;28.71;-1.32;-6.24
01200521;Zwinglistraße;5235;5.19;28.57;22.73;80.82;58.97;36.68;-1.46;59.74;31.20;100.00;59.80;31.74;-2.06;-5.97
01200522;Elberfelder Straße;11333;2.15;23.67;7.71;51.62;35.60;20.00;-0.39;63.48;15.64;1.62;68.22;22.33;-0.54;-4.15
01200623;Stephankiez;10825;4.89;23.71;16.06;68.50;50.49;30.67;-0.70;64.76;23.41;99.97;59.26;30.98;-1.55;-4.89
01200624;Heidestraße;5178;3.54;15.83;14.12;84.08;67.32;45.19;10.20;74.66;9.07;55.02;22.71;72.65;42.94;33.44
01200625;Lübecker Straße;6976;7.60;28.36;19.43;81.78;59.76;34.03;0.34;70.35;35.95;100.00;67.36;24.67;-0.79;-5.07
01200626;Thomasiusstraße;5935;2.04;22.82;10.06;58.24;42.90;25.73;-2.72;61.82;12.08;0.52;63.19;34.77;-2.55;-1.30
01200627;Zillesiedlung;3280;6.98;30.30;21.31;85.71;64.79;33.23;-0.42;80.83;42.90;100.00;68.09;19.86;-1.41;2.29
01200628;Lüneburger Straße;3132;1.09;28.32;14.32;67.16;42.40;22.77;0.56;60.87;10.96;0.00;63.68;27.46;1.18;0.36
01200629;Hansaviertel;5807;1.19;24.20;9.39;60.12;47.89;34.06;0.22;64.36;6.79;0.00;60.57;29.80;0.33;-7.02
01300730;Drontheimer Straße;7957;9.68;32.10;18.94;88.74;71.47;46.70;-1.12;65.74;42.54;99.55;60.92;34.38;-2.80;0.01
01300731;Koloniestraße;8545;7.37;31.72;18.94;81.40;58.27;37.78;-0.78;64.87;41.96;100.00;62.11;29.15;-0.89;-3.41
01300732;Soldiner Straße;9879;7.17;32.99;18.92;83.85;62.24;39.49;-0.59;67.65;46.05;99.96;63.19;25.11;-1.43;-6.88
01300733;Gesundbrunnen;11665;6.29;27.86;14.86;83.59;61.93;37.88;-1.06;69.72;39.43;99.95;64.48;26.20;-2.14;-5.04
