ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
09.01.2023,07.01.2023,20,09.01.2023,08,05100103,900,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,02.01.2023,15,02.01.2023,19,04300622,2600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,06.01.2023,09,08.01.2023,16,01400942,1480,Nein,Kinderfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
09.01.2023,08.01.2023,17,09.01.2023,12,03601140,869,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,08.01.2023,23,09.01.2023,00,02200209,799,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,09.01.2023,17,09.01.2023,18,01300834,2600,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,24.11.2022,21,24.11.2022,21,02400625,548,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,09.01.2023,07,09.01.2023,11,02500727,130,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,09.01.2023,02,09.01.2023,02,02200209,3400,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,06.01.2023,17,09.01.2023,07,09100202,1595,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,07.01.2023,13,09.01.2023,10,06300526,370,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,09.01.2023,01,09.01.2023,01,07100101,3500,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,07.01.2023,15,08.01.2023,12,05100314,413,Nein,Kinderfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
09.01.2023,08.01.2023,14,08.01.2023,23,01401047,229,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,08.01.2023,07,09.01.2023,08,11401033,1633,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,09.01.2023,09,09.01.2023,14,04400830,764,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,09.01.2023,20,09.01.2023,20,02300419,100,Nein,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
09.01.2023,04.01.2023,16,05.01.2023,21,03601141,496,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,08.01.2023,18,09.01.2023,08,09501737,620,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
09.01.2023,08.01.2023,20,09.01.2023,13,09200613,1699,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
